0, 1, 1, 9383
1, 41, 41, 886
2, 22, 22, 2777
3, 2, 2, 6915
4, 7, 7, 7793
5, 5, 5, 8335
6, 15, 15, 5386
7, 31, 31, 492
8, 12, 12, 6649
9, 34, 34, 1421
10, 20, 20, 2362
11, 37, 37, 27
12, 7, 7, 8690
13, 47, 47, 59
14, 5, 5, 7763
15, 4, 4, 3926
16, 37, 37, 540
17, 25, 25, 3426
18, 5, 5, 9172
19, 16, 16, 5736
20, 19, 19, 5211
21, 7, 7, 5368
22, 31, 31, 2567
23, 14, 14, 6429
24, 12, 12, 5782
25, 27, 27, 1530
26, 33, 33, 2862
27, 20, 20, 5123
28, 25, 25, 4067
29, 31, 31, 3135
30, 20, 20, 3929
31, 1, 1, 9802
32, 25, 25, 4022
33, 22, 22, 3058
34, 21, 21, 3069
35, 3, 3, 8167
36, 34, 34, 1393
37, 4, 4, 8456
38, 20, 20, 5011
39, 10, 10, 8042
40, 14, 14, 6229
41, 5, 5, 7373
42, 16, 16, 4421
43, 8, 8, 4919
44, 20, 20, 3784
45, 1, 1, 8537
46, 23, 23, 5198
47, 22, 22, 4324
48, 4, 4, 8315
49, 14, 14, 4370
50, 15, 15, 6413
51, 23, 23, 3526
52, 14, 14, 6091
53, 3, 3, 8980
54, 1, 1, 9956
55, 29, 29, 1873
56, 12, 12, 6862
57, 3, 3, 9170
58, 8, 8, 6996
59, 4, 4, 7281
60, 30, 30, 2305
61, 25, 25, 925
62, 3, 3, 7084
63, 10, 10, 6327
64, 48, 48, 336
65, 8, 8, 6505
66, 35, 35, 846
67, 37, 37, 1729
68, 32, 32, 1313
69, 4, 4, 5857
70, 15, 15, 6124
71, 25, 25, 3895
72, 1, 1, 9582
73, 46, 46, 545
74, 2, 2, 8814
75, 23, 23, 3367
76, 19, 19, 5434
77, 43, 43, 364
78, 24, 24, 4043
79, 21, 21, 3750
80, 22, 22, 1087
81, 4, 4, 6808
82, 10, 10, 7276
83, 2, 2, 7178
84, 5, 5, 5788
85, 30, 30, 3584
86, 17, 17, 5403
87, 32, 32, 2651
88, 29, 29, 2754
89, 6, 6, 2399
90, 1, 1, 9932
91, 21, 21, 5060
92, 3, 3, 9676
93, 26, 26, 3368
94, 4, 4, 7739
95, 48, 48, 12
96, 9, 9, 6226
97, 5, 5, 8586
98, 3, 3, 8094
99, 10, 10, 7539
100, 34, 34, 795
101, 35, 35, 570
102, 32, 32, 1434
103, 34, 34, 378
104, 6, 6, 7467
105, 7, 7, 6601
106, 44, 44, 97
107, 26, 26, 2902
108, 19, 19, 3317
109, 29, 29, 492
110, 3, 3, 6652
111, 43, 43, 756
112, 7, 7, 7301
113, 43, 43, 280
114, 22, 22, 4286
115, 1, 1, 9441
116, 22, 22, 3865
117, 1, 1, 9689
118, 3, 3, 8444
119, 11, 11, 6619
120, 1, 1, 8440
121, 20, 20, 4729
122, 5, 5, 8031
123, 8, 8, 8117
124, 3, 3, 8097
125, 18, 18, 5771
126, 25, 25, 4481
127, 35, 35, 675
128, 40, 40, 709
129, 2, 2, 8927
130, 21, 21, 4567
131, 1, 1, 7856
132, 2, 2, 9497
133, 30, 30, 2353
134, 20, 20, 4586
135, 5, 5, 6965
136, 17, 17, 5306
137, 16, 16, 4683
138, 13, 13, 6219
139, 3, 3, 8624
140, 27, 27, 1528
141, 23, 23, 2871
142, 18, 18, 5732
143, 7, 7, 8829
144, 1, 1, 9503
145, 43, 43, 19
146, 7, 7, 8270
147, 26, 26, 3368
148, 2, 2, 9708
149, 1, 1, 6715
150, 8, 8, 6340
151, 8, 8, 8149
152, 11, 11, 7796
153, 41, 41, 723
154, 29, 29, 2618
155, 26, 26, 2245
156, 31, 31, 2846
157, 31, 31, 3451
158, 25, 25, 2921
159, 25, 25, 3555
160, 29, 29, 2379
161, 10, 10, 7488
162, 1, 1, 7764
163, 6, 6, 8228
164, 1, 1, 9841
165, 29, 29, 2350
166, 21, 21, 5193
167, 25, 25, 1500
168, 7, 7, 7034
169, 5, 5, 7764
170, 44, 44, 124
171, 5, 5, 4914
172, 10, 10, 6987
173, 19, 19, 5856
174, 19, 19, 3743
175, 4, 4, 6491
176, 36, 36, 2227
177, 7, 7, 8365
178, 3, 3, 9859
179, 33, 33, 1936
180, 35, 35, 1432
181, 30, 30, 2551
182, 12, 12, 6437
183, 2, 2, 9228
184, 32, 32, 3275
185, 19, 19, 5407
186, 39, 39, 1474
187, 17, 17, 6121
188, 1, 1, 8858
189, 14, 14, 4395
190, 13, 13, 6029
191, 32, 32, 1237
192, 2, 2, 8235
